created_at,screen_name,text,label
5/1/2021 16:48,theoholan, itu konflik rebutan tanah,0
5/3/2021 14:12,KoloElang, Bisa tidak? Palestina taat secara kaffah dlm islam dengan mengganti demokrasi menjadi sistem islam??  Seakan2 hal ini menjadi kunci Allah akan memperbaiki keadaan di tiap tempat yang bersangkutan (,0
5/5/2021 10:27,ambiszen,kalau palestina rohingya lebih ke konflik politik sih soalnya oknum yg terlibat dari pemerintah luar ke islam bukan islam ke oknum luar jadi gak apple to apple sama teroris. Cmiiw,1
5/5/2021 10:54,NephiLaxmus, Teroris 'islam' Itu gejala baru terutama sebagai imbas konflik israel palestina. tahun 60-70an yg sohor malah teroris 'merah'. Sisa-sisanya pernah beraksi di Jakarta tahun 1986.   https://t.co/ycmTC5Pwkv,1
5/5/2021 19:57,Atheo8ID, @mataglo @Sentjoko paling sedikit gregetan gue turun karena kamu moderat ððð Saya tidak peduli dengan zionisme ataupun gerakan yang mendukung Palestina. Ini konflik mereka yang gak ada sangkut pautnya dengan kita.,2
5/7/2021 6:24,AldicoF, Tolong negara negara arab atau lainnya harus menegakkan kebebasan dan hak asasi manusia di palestina jangan cuma banyak bacot doang untuk mengurusi negara yang banyak sumber daya alamnya contoh negara amerika ,1
5/7/2021 7:30,literasiislam, Apa kalian yang teriak toleransi tau bagaimana islam menjaga kebebasan agama lain beragama?   Ingat kisah Amirul mukminin Umar ibn Khatab? Membebaskan Jarusalem (Palestina),0
5/7/2021 18:56,raaperle, @Sk8rwannabe memang. konflik israel-palestina mmg kompleks,1
5/7/2021 23:40,andisoepangkat, Semoga Allah menolong saudara kita di Palestina. Aamiin YRA .....Alfatehah,0
5/7/2021 23:47,NurmansyahAffa1," Penjajahan Palestina terjadi setelah runtuhnya Khilafah. Bahkan setelah berdirinya ""puluhan"" negara Arab mereka gak mampu membebaskan al aqso....masih enggak ada rasa rindu khilafah islamiah�",2
5/7/2021 23:48,kompascom, Kebanyakan korban terluka karena ditembak peluru karet dan pecahan dari granat kejut,1
5/7/2021 23:53,par_tigarihit, @fadlizon @tribunnews Saya setuju pak untuk urusin palestina saja... Jadi duta palestina saja pak dan tinggallah disana selama 25tahun,1
5/8/2021 4:56,ItsDanielPartz, gue lagi mikir dalam perspektif netral dan ya.. gak israel gka palestina penembakan sipil juga terjadi.  hampir disetiap perang juga,0
5/8/2021 5:13,ramz2402, Konflik israel palestina itu gak ada hubungannya dengan agama...di israel ada orang islam yang jadi tentara israel...di palestina ada warga yang yahudi ortodoks dan nasrani...tapi kenapa kayaknya tiap ramadhan selalu ada keributan,1
5/8/2021 12:22,kycki,konflik israel dan palestina sudah tertulis di al quran..,0
5/8/2021 15:11,pratamalif_97,jangan pelihara konflik dan penderitaan warga palestina dengan bilang itu semua sudah takdir mereka untuk dijajah israel #FreePalestine,0
5/8/2021 15:11,pratamalif_97,respon begitu punya beberapa masalah: 1. membiaskan akar permasalahan konflik Palestina-Israel 2. mengkerdilkan kasus dari konflik jadi sebatas agama 3. membatasi diskusi tentang penyelesaian konflik,2
5/8/2021 16:58,sufiyadi8,Konflik israel -palestina tidak bisa di diamkan begitu saja  https://t.co/4DqiA1DGSP  AS dan Uni Eropa sama-sama menyerukan agar Israel dan Palestina meredakan ketegangan setelah terjadi bentrokan te,0
5/8/2021 21:20,Aulia_Bardain,Dari zamannya Bung Karno gak ada perubahannya tuh palestina.... Kenapa yaa bisa gitu?  Ada konflik apa di sana? ,0
5/8/2021 21:28,Blue_Shark29,Konflik Palestina itu murni bisnis yang sudah ada sejak puluhan tahun lalu. Hanya orang2 yang kurang literasi yang mengkhawatirkan mereka.,1
5/8/2021 22:16,laburiseo,Di Israel pun banyak kok warganya yang mengecam praktik kolonialisme ini. Peran media berpuluh-puluh tahun menggeser makna konflik Israel-Palestina menjadi perang agama.,1
5/8/2021 22:16,laburiseo,Konflik Palestina dan Israel saat ini bentuk dr keinginan militer Israel yang ingin okupasi wilayah sekitar Al-Aqsa.   Kesimpulannya,1
5/9/2021 0:33,DendyBrokoli,Kenapa sih Israel nyerang Palestina disaat hari besar Islam atau ketika ibadah Sholat Jum'at atau kejadian kemarin saat sholat Tarawih? Konflik karena agama kah? Atau konflik karena wilayah kah? ,0
5/9/2021 1:12,alim_kidh,Konflik Israel vs Palestina itu kompleks. Sampai sekarang masih belum ada penyelesaiian.   https://t.co/lC5sU1M5pl,2
5/9/2021 3:08,BukanJubir1,Giliran Konflik Myanmar kalian bersuara.  ini Palestina dijajah,0
5/9/2021 3:11,shadikamega,terus PBB tuh ngapain sih kok bisa sampai ada konflik di palestina kayak gini tapi gak beres2 gue heran,2
5/9/2021 3:16,HaedarNs,Sejak pendudukan dan berdirinya negara Israel di kawasan Yerusalem sebagai wilayah Palestina dan negeri tiga agama yaitu Islam,0
5/9/2021 5:03,adammaulana__,Masih banyak orang yang berpikir bahwa konflik yang terjadi di Palestina adalah konflik agama. IT IS NOT,1
5/9/2021 5:25,adammaulana__,Akan sangat mudah bagi negara2 kolonial untuk merebut Palestina apabila konflik tersebut atas nama agama. Jadi kita yang awam ini tak acuh dan hanya menganggap angin lalu saja â sudah dari awal konflik,1
5/9/2021 6:23,ihedi_S,Setiap ngelihat Palestina ini sejak dulu selalu ngerasa sedih. Bukan karena apa yang terjadi,0
5/9/2021 6:23,abdullah_182,Konflik yang terjadi di palestina emang rumit gak bisa di nilai sepihak gitu aja,1
5/9/2021 7:12,mediaindonesia,Situasi konflik Israel-Palestina akan menjadi cermin bagi kondisi geopolitik di Timur Tengah dan juga di level internasional.   https://t.co/o8EoN8Wa32,0
5/9/2021 8:48,TURngeyel,Yang membuat saya takjub adalah konflik ini terjadi sudah berapa dekade,1
5/9/2021 11:21,fadlizon,Aksi kekerasan terbaru Israel di Masjid al-Aqsa bisa digunakan sebagai momentum untuk menegakkan hukum-hukum internasional terkait konflik Palestina-Israel,1
5/9/2021 12:09,abdullah_182,Kabar konflik apapun itu apalagi di palestina emang ibarat geledek di siang bolong yang bikin kesel dan sakit hati.  Tapi dengan propaganda tujuan mendukung sesuatu tanpa mengajak orang untuk/ bisa paham,2
5/9/2021 12:39,muhsinlabib,Teror tak hanya dilakukan oleh individu dan kelompok dari agama dan etnis tertentu. Yang terjadi di Palestina adalah teror sebuah rezim. ,1
5/9/2021 16:00,SigitJatmiko123,Palestina membutuhkan kehadiran pemikiran dari Persyarikatan Muhammadiyah yang diharapkan dapat mencarikan solusi bagaimana caranya agar Palestina dapat menikmati Kemerdekaannya,1
5/9/2021 16:40,semafahuinjkt,Mari kita tundukan kepala dan doakan saudara saudara muslim kita di Palestina ataupun daerah konflik Timur Tengah agar senantiasa diberikan kesabaran,1
5/9/2021 21:17,RMSigalingging1,Lucunya dari jaman ke jaman doamu gak dikabul2kan... lalu apa yang salah?? Konflik palestina vs israel bukan soal agama yaa... tapi politik kekuasaan... dan itu sudah ada,2
5/9/2021 22:17,azyweiser,Konflik israel palestina itu gak akan berhenti sampai hari kiamat nanti..,0
5/9/2021 23:09,DontForgetAisha,Yap setuju . Saya simpati juga dengan palestina,1
5/9/2021 23:20,nya_banyak,Ada yang bilang konflik di Palestina bukan soal agama.Mungkin benar dia kata,1
5/10/2021 2:00,nstarry, Jujur sampe sekarang gue gak ngerti akar masalah yang trjadi antara palestina dan israel,1
5/10/2021 6:05,dith_nattawat1, palestina dan israel itu konfliknya bukan dalam konteks konflik agama tapi politik. Kaget saja komenannya pada dukung israel secara tidak langsung kalian pada dukung kolonialisme atau penjajahanâ¹,1
5/10/2021 6:05,dith_nattawat1, Dan palestina dan israel itu konfliknya bukan dalam konteks konflik agama tapi politik. Kaget aja komenannya pada dukung israel secara ga langsung lu pada dukung colonialisme atau penjajahanâ¹,1
5/10/2021 7:28,Ndheso_, Mereka berkedok lembaga sosial,2
5/10/2021 8:47,alfiinorahmat, entah apakah cuma aku yang merasa kalau konflik palestina dan israel ini gak begitu ditanggapi sama dunia dan publik figur dunia,0
5/10/2021 8:59,reynaldtjipto, Buat orang kristen yang mendukung Israel karena perjanjian lama sepertinya sangat bodoh. Mereka lupa kalau Palestina juga diisi minoritas kristen. Konflik ini murni politik dan bukan perang agama,2
5/10/2021 9:06,EJat3010, Bangsa palestina mendiami tanah kosong itu ketika bangsa israel terusir saat kalah dijajah dan akhirnya menyebar keseluruh dunia.. Bagaimana pun juga,0
5/10/2021 9:53,ini_aran, Israel pengen ngerebut palestina cuma atas dasar kepercayaan mereka. dan ini konflik abadi sampai kiamat tertulis di kitab,1
5/10/2021 9:53,ini_aran, @maridanjuana @AREAJULID iya israel pengen ngerebut palestina cuma atas dasar kepercayaan mereka. dan ini konflik abadi sampai kiamat tertulis di kitab,1
5/10/2021 10:06,STUDSGUY, Konflik Israel Palestina itu konflik perebutan daerah atau politik..bukan masalah agama,0
5/10/2021 10:06,STUDSGUY, @whoistimi @Dirwan_Rosdi @JebulMania291 Konflik Israel Palestina itu konflik perebutan daerah atau politik..bukan masalah agama,0
5/10/2021 10:16,APauwang, @CNNIndonesia Konflik yang tidak akan pernah berujung nii sampai kiamat,0
5/10/2021 10:34,UdukBadutBiasa, Ngapain ngurusin palestina sudah terlihat konflik kepentingan,2
5/10/2021 10:39,KristySwan, Sebel banget liat masih banyak yang framing konflik Israel-palestina sebagai konflik zionis Yahudi vs muslim Palestina. ,2
5/10/2021 11:09,FTrimus, Memberikan kemerdekaan kepada hongkong dan melepaskan taiwan dari permasalahan internasional beserta penyelesaian konflik israel-palestina.,0
5/10/2021 11:15,ArisWila, Konflik Israel-Palestina harus di lihat akar masalahnya,1
5/10/2021 11:25,ImamAza10, @Sherly0ctaviani @jokowi Dari dulu sampai sekarang belum pernah denger ada pasukan perdamaian PBB diPalestina...percuma ada badan dunia tapi gak bisa menyelesaikan konflik Palestina Israel ,2
5/10/2021 11:29,hanafiaryanbly, Dalam pikirku yang kolot dan terbatas ini ya. Peran redaksi media itu diuji saat pelanggaran HAM yang ada di Palestina.   Media yang mau ku kritisi adalah tepewen. Why?   Tendensi pimred cenderu,2
5/10/2021 11:44,jampirojam, @AREAJULID Gue pro dan kontra soal kasus Palestina dan Israel. ,0
5/10/2021 13:54,liasatria89, @yasiremres @ShehabAgency tidak akan pernah israel dapat  menghancur kan masjid alaqsa sampai kiamat pun...dan israel tidak akan musnah sampai hari akhir...jika bisa di hancur kan sudah sejak lama,1
5/10/2021 14:08,humanitarrian, Setuju. Memang agenda utama Indonesia apabila jd member tidak tetap UN Security Council adalah untuk membela hak Palestina menjadi negara seutuhnya,1
