text,label
it's a land grab,neutral
"Can Palestine not obey the kaffah way in Islam by changing democracy to an Islamic system for this, God's key will be good in every place involved",pos
"If Palestine is Rohingya, it's more of a political conflict, it's about the people involved, from outside orders to Islam, not Islam to outsiders, so it's not apple to apple and terrorists cmiiw",pos
"Islamic terrorists are the main new symptom, like the impact of the Israel-Palestine conflict in the 1980s, which was famous, and even the remaining red terrorists took action in Jakarta last year.",pos
"At least I'm angry because you're moderate. I don't care about zionism or the movement that supports Palestine, it's their conflict that has nothing to do with us",neg
"please Arab countries or other countries must be free and human rights in Palestine don't just talk too much to manage a country that has a lot of natural resources, for example America",pos
"Do those of you who shout tolerance know how Islam keeps other religions free, remember the story of Amirul Mu'minin Umar ibn Khatab, free from Jerusalem, Palestine?",pos
"Indeed, the Israel-Palestine conflict is indeed complex",neg
"May Allah help our brothers and sisters in Palestine, Amen, Yra Alfatehah",neutral
"The Palestinian colony has collapsed, the caliphate has even fallen into ten Arab countries, they can't be free from Al Aqso, they still don't miss the Islamic caliphate",pos
many victims were injured by rubber bullets and shattered from stun grenades,pos
"I'm going, sir, to take care of Palestine, so I'll just be an ambassador for Palestine, sir and stay there for years",neutral
"I'm still thinking in a neutral perspective and yes, Israel or Palestine, shoot civilians too, so almost every war too",neutral
"The Israeli-Palestinian conflict has nothing to do with religion in Israel, the Muslims who are the Israeli soldiers in Palestine, the citizens of Israel, orthodox, and Christians, but why does it seem like every Ramadan is always noisy",neg
The conflict between Israel and Palestine has been written in the Koran,neutral
"Don't keep the conflict and suffering of the Palestinians by saying it was all their destiny to colonize Israel, free Palestine.",pos
"the response so has several problems, bias, the root of the problem of the palestine-israel conflict is dwarf, the case from conflict becomes religious boundaries, limits discussions about ending the conflict",neutral
"The Israeli-Palestinian conflict can't just stand still, the US and the European Union are equally exciting so that Israel and Palestine will subside when tensions have turned into violent clashes.",neg
"Since the time of Bung Karno, Palestine hasn't changed, why can't it be like that, what kind of conflict is there?",pos
"The Palestinian conflict is purely a business. For decades, only people who are not literate are worried about them",pos
"Even in Israel, there are many people who criticize the practice of colonialism. The role of the media for decades has shifted the meaning of the Israel-Palestine conflict into a religious war.",pos
The current conflict between Palestine and Israel is the form of Dr. wants the Israeli military who wants to occupy the area around Al-Aqsa knot,pos
"Why did Israel attack Palestine during Islamic holidays or during Friday prayers or yesterday during Tarawih prayers, conflict because of religion or conflict because of territory?",neutral
the israel vs palestine conflict is complex until now it has not been resolved,neg
"turn to your myanmar conflict, this voice is occupied Palestine",neutral
"Then what the hell did the UN do, how come there was a conflict in Palestine like this, but it's not right, I'm surprised",neg
"Since sitting and being the state of Israel in the Jerusalem area, it has been like Palestine and the land of three religions, namely Islam",neutral
there are still many people who think that the conflict in Palestine is a religious conflict it is not,pos
"it would be very easy for the colonial state to seize Palestine if the conflict was called in the name of religion, so we who are laymen are indifferent and only think that the wind has passed since the beginning of the conflict",pos
"Every time I see Palestine, I always feel sad, not because of what happened",neg
"The conflict in Palestine is really complicated, you can't just judge it like that",neg
The Israeli-Palestinian conflict situation will be a mirror for geopolitical conditions in the Middle East and also at the international level,neutral
what amazes me is how many decades this conflict has been,pos
Israel's new crackdown at the Al-Aqsa Mosque can be used as a momentum to uphold international law regarding the Palestinian-Israeli conflict,pos
"The news about the conflict, especially in Palestine, is like thunder in broad daylight which makes you angry and hurt, but with propaganda, you want to support something without asking people to understand.",neg
"Terror is not only carried out by individuals and groups of religions and ethnicities, of course what has happened in Palestine is the result of the regime's terror",neutral
Palestine needs to come from the Muhammadiyah Association which hopes to find a solution on how to make Palestine enjoy independence.,pos
Let's bow our heads and pray for our Muslim brothers and sisters in Palestine or the Middle East conflict area to always be patient,neutral
"it's funny from time to time prayers don't come true then what's wrong the Palestine vs Israel conflict is not about religion, but power politics and that's it",pos
The Israeli-Palestinian conflict will not stop until the Day of Resurrection,neutral
"Yep, I'm going to sympathize with Palestine too",neutral
"those who say the conflict in Palestine is not about religion, maybe he is right",pos
"Honestly, until now, I don't understand the root of the problem between Palestine and Israel",pos
"Palestine and Israel are conflicts, not in the context of religious conflicts, but politics. I'm just surprised the comments are on supporting Israel, the way you are indirectly supporting colonialism or colonialism.",pos
"And Palestine and Israel are conflicts, not in the context of religious conflicts, but politics. I'm surprised if the comments support Israel, the way you don't directly support colonialism or colonialism.",pos
they are a social institution,pos
I don't know if I'm the only one who feels that the Palestinian-Israeli conflict is not very responsive to the world and world public figures,neg
"For Christians who support Israel because of the old promises, they seem very stupid. They forget that Palestine is also a Christian minority. This conflict is purely political and not a religious war.",neg
the Palestinians accepted the vacant land when the Israelites were expelled when they lost their colony and eventually spread all over the world no matter what,neutral
"Israel has taken over Palestine just on the basis of believing in them and this is an eternal conflict until the end of the world, write it down in the book",neg
"Yes, Israel has captured Palestine just on the basis of believing in them and this is an eternal conflict until the end of the world, write it down in the book",neg
"Israel-Palestine conflict is conflict over territory or politics, not religion",neutral
"Israel-Palestine conflict is conflict over territory or politics, not religion",neutral
a conflict that will never end until the apocalypse,neutral
"Why take care of Palestine, you have seen an important conflict",pos
It's really annoying to see that there are still many who are framing the Israeli-Palestinian conflict like the Jewish Zionist vs Palestinian Muslim conflict,neg
Give independence to Hong Kong and free Taiwan from international problems and end the Israel-Palestine conflict,pos
Israel-Palestine conflict must be looked at the root of the problem,neutral
"From the past until now, I have never heard of the UN peacekeeping force in Palestine, the world body is useless, but the Israeli-Palestinian conflict can't be resolved.",neg
"In this conservative and limiting thought, yes, the role of the media editor is being tested when it violates human rights. What I want to criticize is the media that I want to criticize, why is the tendency of the chief executive officer to tend to",neutral
I am for and against the case of Palestine and Israel,neutral
Israel will never be able to destroy the Alaqsa Mosque until the end of the world and Israel will not be destroyed until the last day if it can be destroyed it has been a long time,pos
The goal is that Indonesia's main agenda if you become a non-permanent member of the Un Security Council is to defend the rights of Palestine as a whole country,pos
"If Palestine and Israel are at peace, it means the apocalypse is near",pos
"save I hope that all people in Palestine are healthy and hopefully this old conflict can end quickly, maybe amen, savesheikhjarrah, save Palestine.",pos
maybe we can be more mature this time to try to see the conflict this time from a more objective side not only about sad Palestine why,pos
"I'm making a thread to discuss only about cases that have been busy this past week, so invite us to think objectively, not about the Israeli-Zionist Palestinian conflict, which has been around for a century.",neg
