text,label
konflik rebut tanah,0
palestina taat kaffah islam ganti demokrasi sistem islam akan kunci allah baik sangkut,1
palestina rohingya konflik politik sih oknum libat perintah islam islam oknum apple to apple teroris correct me if im wrong,1
teroris islam gejala imbas konflik israel palestina tahun an sohor teroris merah sisa sisa aksi jakarta tahun,1
gregetan turun moderat peduli zionisme gera dukung palestina konflik paut,2
tolong ara ara arab meakkan bebas hak asasi manusia palestina bicara urus ara sumber daya alam contoh ara amerika,1
teriak toleransi islam jaga bebas agama agama kisah amirul mukminin umar ibn khatab bebas yerusalem palestina,1
konflik israel palestina kompleks,2
moga allah tolong saudara palestina aamiin yra al fatihah,0
jajah palestina runtuh khilafah diri puluh ara arab bebas al aqso rindu khilafah islamiah,1
banyak korban luka tembak peluru karet pecah granat kejut,1
tuju urus palestina duta palestina tinggal sana tahun,0
mikir perspektif netral iya israel gka palestina tembak sipil tiap perang,0
konflik israel palestina hubung agama israel islam tentara israel palestina warga yahudi ortodoks nasrani kayak ramadhan ribut,2
konflik israel palestina tulis al quran,0
pelihara konflik derita warga palestina bilang takdir jajah israel,1
respon bias akar masalah konflik palestina israel kecil konflik batas agama batas diskusi selesai konflik,0
konflik israel palestina diam as uni eropa seru israel palestina reda tegang bentrok te,2
zaman karno ubah palestina yaa konflik,1
konflik palestina murni bisnis puluh tahun literasi khawatir,1
israel warga kecam praktik kolonialisme peran media puluh puluh tahun geser makna konflik israel palestina perang agama,1
konflik palestina israel bentuk militer israel okupasi wilayah al aqsa simpul,1
sih israel serang palestina saat islam ibadah sholat jumat jadi kemarin sholat tarawih konflik agama kah konflik wilayah kah,0
konflik israel vs palestina kompleks selesai,2
gilir konflik myanmar suara palestina jajah,0
pbb sih konflik palestina kayak beres heran,2
duduk diri ara israel kawasan yerusalem wilayah palestina eri agama islam,0
pikir konflik palestina konflik agama it is not,1
mudah ara kolonial rebut palestina konflik nama agama awam acuh anggap angin konflik,1
palestina sedih,2
konflik palestina rumit nilai,2
situasi konflik israel palestina cermin kondisi geopolitik timur tengah level internasional,0
takjub konflik dekade,1
aksi keras baru israel masjid al aqsa momentum meakkan hukum hukum internasional kait konflik palestina israel,1
kabar konflik apa palestina geledek siang bolong bikin kesel sakit hati propaganda tuju dukung ajak paham,2
eror individu kelompok agama etnis palestina teror rezim,0
palestina butuh hadir pikir syarikat muhammadiyah harap cari solusi palestina nikmat merdeka,1
mari tunduk kepala doa saudara saudara muslim palestina daerah konflik timur tengah senantiasa sabar,0
lucu jaman jaman doa kabul salah konflik palestina vs israel agama yaa politik kuasa,1
konflik israel palestina henti kiamat,0
iya tuju simpati palestina,0
bilang konflik palestina agama,1
jujur erti akar trjadi palestina israel,1
palestina israel konflik konteks konflik agama politik kaget komentar dukung israel dukung kolonialisme jajah,1
kedok lembaga sosial,1
konflik palestina israel tanggap dunia publik figur dunia,2
kristen dukung israel janji bodoh lupa palestina isi minoritas kristen konflik murni politik perang agama,2
bangsa palestina ami tanah kosong bangsa israel usir kalah jajah sebar seluruh dunia,0
israel rebut palestina dasar percaya konflik abadi kiamat tulis kitab,2
iya israel rebut palestina dasar percaya konflik abadi kiamat tulis kitab,2
konflik israel palestina konflik rebut daerah politik agama,0
konflik ujung nii kiamat,0
ngurusin palestina konflik penting,1
sebel banget framing konflik israel palestina konflik zionis yahudi vs muslim palestina,2
merdeka hongkong lepas taiwan masalah internasional serta selesai konflik israel palestina,1
konflik israel palestina akar,0
denger pasu damai pbb palestina badan dunia selesai konflik palestina israel,2
pikir kolot batas iya peran redaksi media uji langgar ham palestina media ku kritisi tvone why tendensi pimred cenderung,0
profesional kontra palestina israel,0
israel hancur masjid al aqsa kiamat israel musnah hancur,1
tuju agenda utama indonesia member un security council bela hak palestina ara utuh,1
palestina israel damai kiamat,1
save moga palestina sehat moga konflik cepat aamiin,1
dewasa iya coba konflik sisi objektif melulu sedih palestina,1
bikin thread bahas ramai minggu iya ajak pikir objektif konflik palestina zionis israel abad,2
konflik israel palestina baik hati saladin hasil rebut kota jerusalem saladin enggan siksa usir umat non muslim jerusalem,0
konflik israel palestina sebenernya israel lelah nyerang melulu sadar henti serang kiamat ketawa,2
kaum cerdas kritis nkri konflik israel palestina,1
mari israel palestina konflik ara konflik agama,0
profesional yahudi profesional sih fakta rakyat palestina israel hidup normal damping benar,1
israel serang udara gaza ara arab suplai senjata palestina pakai lawan ara arab iran suplai,1
fair perintah dorong rakyat palestina hindar tindak provokatif mancing konflik aparat israel konflik rugi dorong cipta atur daerah,1
kemarin ajar sejarah palestina israel usir kaum yahudi yudea kaum romawi runtuh raja ottoman sebab hilang lindung palestina,0
pbb mana palestina israel pbb ambil tindak konflik,1
bikin palestina israel perang mirip sejarah,0
facebook ramah berita konflik palestina israel akun tumbang gara gara berita situasi kini laku zionis rakyat palestina,1
konflik israel palestina melulu agama konflik penting rebut wilayah,1
bilang kiamat tertawa harap konflik israel palestina selesai egois gila komentar parah pakai tertawa,2
mikir jadi palestina batas konflik agama loh lawan ham,1
konflik palestina israel konflik sisi agama,0
paham ara pbb kes tutup konflik israel palestina tahun tahun gila,2
lawan palestina intifada jilid israel layak ara teroris,0
iya allah iya konflik palestina israel,0
bilang konflik israel palestina konflik agama kayak konflik wilayah deh hubung konflik yahudi islam,1
sedih palestina ara bantu aku daulat indonesia bantu banget,1
sejarah palestina israel perang moga cepat selesai duka tinggal,1
tuju serang israel palestina jahat,2
serang israel palestina idol kpop idol sayang kasih dukung tragedi,1
tuju sikap indonesia tentang kutuk serang israel palestina jajah dunia hapus,1
bicara konflik israel palestina simpang siur,2
israel tingkat serang udara peluru kendali gaza ledak udara iron dome israel pengaruh,1
konflik palestina israel damai zaman,1
isu konflik israel palestina ujung ujung banding banding isu papua minoritas tindas mari kaya kotor kucing sih adu narasi,2
suka konflik israel palestina gaza israel palestina gaza alat tempur,2
indonesia menang heboh bidang sepakbola konflik israel palestina,1
moga damai wujud palestina lepas apa sebab konflik sebab ancam nyaman hidup hilang nyawa my thoughts and prayers for human,1
tingkat masyarakat mayoritas masyarakat peduli bebas palestina amp selesai konflik bagus nama manusia,1
lepas hujat palestina konflik agama,1
kait konflik israel palestina speak up kait,1
palestina konflik rumit papua rumit indonesia rumit,2
mana sby tahun kuasa sby kuasa selesai konflik israel palestina bicara pakai kaca efek samping,0
amerika serikat anggap amat hambat resolusi konflik palestina israel tahun,1
alangkah baik perintah indonesia seru israel palestina henti konflik senjata,1
konflik palestina luar nalar serang saat ibadah mana manusia,0
ara pegang veto desak tindak konflik sana amerika goyah asa presiden keluar statement,1
konflik palestina israel murni politik teman teman tolong liat sisi agama israel palestina kristen,0
konflik palestina keras militer henti intervensi militer,2
pimpin dorong genjatan sejata cepat duduk hak raya menang ramadhan asa gembira,1
harap moga konflik palestina israel ketemu titik terang dialog bentuk keras hindar amin,1
palestina israel rebut wilayah perang agama bawa agama,0
genjatan sejata tuju belah henti peperangan senjata,0
palestina israel kiamat selesai kecuali salah gabung integrasi ara tinggal,0
nama yahudi mesti israel yahudi ras ara hal arab,0
dukung kait situasi panas palestina israel sebar isu bohong validasi perang,2
tentu salah baca informasi edar kalem tunggu update berita palestina israel,1
loh us jajah bantai indian bilang aneksasi umat islam rebut palestina romawi jajah,1
harap sederhana anda selisih palestina israel selesai hompimpa betapa senang dunia perang,1
ara konflik sentimen agama,1
habis tuding israel bantai warga sipil palestina dosa pola serang israel peluru kendali arah titik duga luncur roket hamas,1
konflik palestina israel bentuk sperma tahun data bicara malu jenggot,0
palestina israel konflik agama act for humanity narasi konflik agama muslimah seret borgol bicara,0
israel sipil palestina jauh hamas sipil palestina mati bom kata konflik agama lantas konflik,1
sejarah konflik israel palestina sebenernya,2
salah tanda kiamat damai wilayah palestina israel pikir tuhan waktu khalifah,1
konflik palestina israel sorot jurnalis komen berita imbang alias netral bodo,2
