text,label
itu konflik rebut tanah,0
bisa tidak palestina taat cara kaffah dalam islam dengan ganti demokrasi jadi sistem islam akan hal ini jadi kunci allah akan baik ada di tiap tempat yang sangkut,0
kalau palestina rohingya lebih ke konflik politik sih soal oknum yang libat dari perintah luar ke islam bukan islam ke oknum luar jadi tidak apple to apple sama teroris correct me if im wrong,1
teroris islam itu gejala baru utama bagai imbas konflik israel palestina tahun an yang sohor bahkan teroris merah sisa sisa pernah aksi di jakarta tahun,1
paling sedikit gregetan saya turun karena kamu moderat saya tidak peduli dengan zionisme atau gera yang dukung palestina ini konflik mereka yang tidak ada sangkut paut dengan kita,2
tolong negara negara arab atau lain harus tegak bebas dan hak asasi manusia di palestina jangan cuma banyak banyak bicara saja untuk urus negara yang banyak sumber daya alam contoh negara amerika,1
apa kalian yang teriak toleransi tahu bagaimana islam jaga bebas agama lain agama ingat kisah amirul mukminin umar ibn khatab bebas yerusalem palestina,0
memang konflik israel palestina memang kompleks,1
moga allah tolong saudara kita di palestina aamiin yra al fatihah,0
jajah palestina jadi telah runtuh khilafah bahkan telah diri puluh negara arab mereka tidak mampu bebas al aqso masih tidak ada rasa rindu khilafah islamiah,2
banyak korban luka karena tembak peluru karet dan pecah dari granat kejut,1
saya tuju pak untuk urus palestina saja jadi duta palestina saja pak dan tinggal sana lama tahun,1
saya lagi mikir dalam perspektif netral dan iya tidak israel gka palestina tembak sipil juga jadi hampir tiap perang juga,0
konflik israel palestina itu tidak ada hubung dengan agama di israel ada orang islam yang jadi tentara israel di palestina ada warga yang yahudi ortodoks dan nasrani tapi kenapa kayak tiap ramadhan selalu ada ribut,1
konflik israel dan palestina sudah tulis di al quran,0
jangan pelihara konflik dan derita warga palestina dengan bilang itu semua sudah takdir mereka untuk jajah israel,0
respon begitu punya beberapa masalah bias akar masalah konflik palestina israel kecil kasus dari konflik jadi batas agama batas diskusi tentang selesai konflik,2
konflik israel palestina tidak bisa di diam begitu saja as dan uni eropa sama sama seru agar israel dan palestina reda tegang telah jadi bentrok te,0
dari zaman bung karno tidak ada ubah itu palestina kenapa yaa bisa begitu ada konflik apa di sana,0
konflik palestina itu murni bisnis yang sudah ada sejak puluh tahun lalu hanya orang yang kurang literasi yang khawatir mereka,1
di israel pun banyak kok warga yang kecam praktik kolonialisme ini peran media puluh puluh tahun geser makna konflik israel palestina jadi perang agama,1
konflik palestina dan israel saat ini bentuk dari ingin militer israel yang ingin okupasi wilayah sekitar al aqsa simpul,1
kenapa sih israel serang palestina saat hari besar islam atau ketika ibadah sholat jumat atau jadi kemarin saat sholat tarawih konflik karena agama kah atau konflik karena wilayah kah,0
konflik israel vs palestina itu kompleks sampai sekarang masih belum ada selesai,2
gilir konflik myanmar kalian suara ini palestina jajah,0
terus pbb itu sedang apa sih kok bisa sampai ada konflik di palestina kayak begini tapi tidak beres saya heran,2
sejak duduk dan diri negara israel di kawasan yerusalem bagai wilayah palestina dan negeri tiga agama yaitu islam,0
